Battery_ID,Cycle,Capacity_Ah,SOH,Internal_Resistance_Ohm,Temperature_C,Voltage_Max_V,Voltage_Min_V,Charge_Time_s,Discharge_Time_s,Ambient_Temp_C,RUL
1,1,1.944,99.425,0.04709,32.87,4.1912,3.2083,3633.7,3000.7,32.88,552
1,2,1.9636,100.342,0.0466,33.35,4.1899,3.2079,3603.2,2988.8,32.88,551
1,3,1.9522,99.565,0.04735,32.41,4.1957,3.204,3622.4,3010.8,32.88,550
1,4,1.9644,99.955,0.04715,32.32,4.1908,3.2044,3655.6,2987.8,32.88,549
1,5,1.9386,99.392,0.04826,33.84,4.2041,3.1911,3622.3,2995.2,32.88,548
1,6,1.9543,99.761,0.04789,33.78,4.199,3.2002,3640.9,2930.3,32.88,547
1,7,1.9423,99.492,0.04708,32.65,4.2131,3.1882,3657.0,2919.4,32.88,546
1,8,1.9443,99.431,0.04835,33.85,4.2058,3.1929,3602.3,3019.1,32.88,545
1,9,1.9372,99.434,0.04668,31.91,4.2025,3.1974,3651.1,2965.8,32.88,544
1,10,1.9483,99.519,0.04756,33.57,4.1907,3.1918,3610.8,2933.2,32.88,543
1,11,1.9444,99.596,0.04793,33.61,4.2015,3.2017,3624.7,2962.2,32.88,542
1,12,1.9328,99.315,0.04652,31.47,4.1868,3.1986,3595.0,2962.1,32.88,541
1,13,1.9491,99.812,0.04876,31.95,4.1944,3.1846,3620.3,3008.9,32.88,540
1,14,1.9284,98.546,0.04831,32.37,4.1817,3.1944,3615.3,2982.7,32.88,539
1,15,1.9468,99.191,0.04789,31.87,4.1977,3.1954,3693.4,3004.9,32.88,538
1,16,1.9477,99.271,0.04699,32.34,4.1864,3.1889,3586.6,2995.0,32.88,537
1,17,1.9274,98.984,0.04721,33.5,4.2038,3.2123,3760.8,2984.3,32.88,536
1,18,1.917,98.622,0.04855,32.16,4.191,3.1857,3641.2,3008.5,32.88,535
1,19,1.9348,99.026,0.04729,31.14,4.19,3.1909,3720.2,2969.1,32.88,534
1,20,1.9385,99.302,0.0472,32.01,4.1873,3.2122,3619.2,2995.6,32.88,533
1,21,1.9298,98.492,0.04882,32.99,4.1939,3.184,3672.5,2941.9,32.88,532
1,22,1.9152,98.308,0.04866,35.09,4.1956,3.1889,3668.7,3010.5,32.88,531
1,23,1.9297,98.831,0.04964,33.73,4.2091,3.1914,3610.9,2901.6,32.88,530
1,24,1.9505,99.349,0.04841,32.77,4.2081,3.1781,3626.7,2980.2,32.88,529
1,25,1.9248,98.476,0.04848,33.65,4.2073,3.1896,3690.9,2870.5,32.88,528
1,26,1.9222,98.559,0.04747,32.2,4.1896,3.1974,3614.6,2951.9,32.88,527
1,27,1.9203,98.33,0.04974,33.92,4.2061,3.1862,3642.5,2939.8,32.88,526
1,28,1.9274,98.565,0.04771,33.39,4.1947,3.2125,3748.0,2912.7,32.88,525
1,29,1.914,98.298,0.04825,33.68,4.2042,3.1796,3649.3,2859.0,32.88,524
1,30,1.9159,98.293,0.04837,32.26,4.1909,3.1689,3619.4,3028.2,32.88,523
1,31,1.9059,97.788,0.05078,36.81,4.1799,3.1823,3694.4,3010.3,32.88,522
1,32,1.9114,97.853,0.04978,33.86,4.1876,3.1842,3628.3,2929.7,32.88,521
1,33,1.9183,98.085,0.04849,33.92,4.2012,3.1866,3700.0,2939.5,32.88,520
1,34,1.9146,98.137,0.04942,33.25,4.2117,3.2004,3704.0,2904.9,32.88,519
1,35,1.9144,97.636,0.04942,33.96,4.1731,3.1935,3709.3,2889.1,32.88,518
1,36,1.9136,97.837,0.04926,33.05,4.1892,3.1812,3699.8,2990.5,32.88,517
1,37,1.8937,96.944,0.04943,33.77,4.1862,3.1657,3709.5,2998.8,32.88,516
1,38,1.9062,97.301,0.04898,33.36,4.1792,3.1795,3751.0,2951.2,32.88,515
1,39,1.9322,98.552,0.0498,35.54,4.1938,3.1906,3689.7,2928.6,32.88,514
1,40,1.9112,97.525,0.04823,34.4,4.1872,3.1936,3734.2,2996.9,32.88,513
1,41,1.9084,98.041,0.04939,32.07,4.1837,3.1966,3732.3,2894.2,32.88,512
1,42,1.9017,97.287,0.0483,32.68,4.1917,3.1926,3733.7,2828.6,32.88,511
1,43,1.9112,97.759,0.04998,35.44,4.1677,3.1746,3735.6,2855.1,32.88,510
1,44,1.9207,98.172,0.05046,32.83,4.1962,3.1908,3723.9,2925.8,32.88,509
1,45,1.904,97.634,0.04952,33.35,4.1916,3.1897,3674.8,2909.6,32.88,508
1,46,1.913,98.063,0.0489,33.79,4.196,3.1793,3772.9,2946.9,32.88,507
1,47,1.9134,97.751,0.0521,33.31,4.1672,3.1948,3704.1,2915.1,32.88,506
1,48,1.9052,97.882,0.04857,31.65,4.179,3.1827,3746.0,2919.9,32.88,505
1,49,1.8793,96.737,0.04993,33.02,4.1913,3.1849,3733.1,2937.4,32.88,504
1,50,1.9052,97.338,0.04922,33.39,4.1884,3.1856,3714.4,2925.9,32.88,503
1,51,1.897,97.084,0.0508,31.23,4.1732,3.1621,3639.5,2876.0,32.88,502
1,52,1.903,97.435,0.05022,34.94,4.1992,3.1758,3789.6,2905.0,32.88,501
1,53,1.888,96.744,0.0486,32.58,4.182,3.1841,3806.8,2844.1,32.88,500
1,54,1.8943,97.18,0.0506,33.5,4.167,3.1849,3716.4,2876.1,32.88,499
1,55,1.8837,96.539,0.05061,33.45,4.1884,3.1788,3796.0,2881.9,32.88,498
1,56,1.888,96.32,0.0499,35.03,4.1886,3.1734,3759.8,2971.7,32.88,497
1,57,1.9097,97.685,0.05044,35.0,4.1761,3.1776,3747.4,2904.3,32.88,496
